time,headx,heady,neckx,necky,rshoulderx,rshouldery,relbowx,relbowy,rwristx,rwristy,lshoulderx,lshouldery,lelbowx,lelbowy,lwristx,lwristy,rhipx,rhipy,rkneex,rkneey,lhipx,lhipy,lkneex,lkneey,chestx,chesty
0.5,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,-16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,-16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,-16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,-16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.3,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.4,16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,-16.0,0.0,-16.0,0.0,0.0,16.0,-16.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,-16.0,0.0,-16.0,0.0,0.0,-16.0,-32.0,-32.0,-16.0,-32.0,-16.0,0.0,0.0,-32.0,0.0,32.0,-16.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0
0.4,-16.0,0.0,-16.0,0.0,0.0,-16.0,-32.0,-32.0,-16.0,-32.0,-16.0,0.0,0.0,-32.0,0.0,32.0,-16.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0
0.4,-32.0,0.0,-32.0,0.0,-16.0,0.0,-32.0,-16.0,-32.0,-32.0,-32.0,0.0,0.0,-32.0,0.0,48.0,-32.0,0.0,-32.0,0.0,-16.0,0.0,0.0,0.0,-32.0,0.0
0.4,-64.0,0.0,-48.0,16.0,-48.0,0.0,-32.0,0.0,-80.0,0.0,-64.0,-16.0,-64.0,-32.0,0.0,32.0,-48.0,0.0,-32.0,16.0,-48.0,0.0,-16.0,0.0,-48.0,0.0
0.3,-64.0,0.0,-48.0,16.0,-48.0,16.0,-32.0,16.0,-80.0,0.0,-64.0,-16.0,-64.0,-32.0,0.0,16.0,-48.0,0.0,-16.0,16.0,-48.0,0.0,-16.0,0.0,-48.0,0.0
0.5,-64.0,0.0,-48.0,0.0,-64.0,32.0,-32.0,16.0,-96.0,64.0,-48.0,-16.0,-32.0,-48.0,0.0,-64.0,-32.0,0.0,-16.0,0.0,-48.0,0.0,-16.0,0.0,-48.0,0.0
0.4,-48.0,0.0,-32.0,0.0,-48.0,16.0,-16.0,16.0,-80.0,64.0,-32.0,-16.0,-32.0,-48.0,0.0,-80.0,-16.0,0.0,0.0,0.0,-32.0,0.0,-16.0,0.0,-32.0,0.0
0.5,32.0,0.0,16.0,0.0,16.0,0.0,0.0,-16.0,-16.0,48.0,32.0,16.0,48.0,0.0,-16.0,-64.0,16.0,0.0,0.0,0.0,32.0,0.0,16.0,0.0,16.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,-32.0,64.0,16.0,0.0,32.0,-16.0,-16.0,-64.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
